,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,acrgClc,acreage_calc
9,acrgDdd,acreage_deeded
10,bldSlAcr,buildable-sliver-acre
11,bldSlRel,buildable-sliver-relative
12,bldblSmAcr,buildable-small-acre
13,bldblSmRel,buildable-small-relative
14,cnssZp,census_zip
15,CountyID,cid
16,cntyNm,county_name
17,elvtn,elevation
18,fldHgh,flood-high
19,fldLw,flood-low
20,LandUseCde,land-use-code
21,lstUpdtd,last_updated
22,lglDsc1,legal_desc1
23,mnId,muni_id
24,mnNm,muni_name
25,pn,pin
26,rsId,rausa_id
27,rbstId,robust_id
28,slPrc,sale_price
29,schlDstId,school_dist_id
30,slp,slope
31,slpAcr,slope-acre
32,trnsDt,trans_date
33,TreePrcnt,tree
34,trAcr,tree-acre
35,uspsRsdntl,usps_residential
36,wtlnds,wetlands
37,wtlndsAcr,wetlands-acre
38,geometry,geometry
39,bldngs,buildings
40,crtclHbttJ,critical_habitat_joint
41,crtclHbtt0,critical_habitat_joint-acre
42,fld02,flood_02
43,fld02Acr,flood_02-acre
44,fld1,flood_1
45,fld1Acr,flood_1-acre
46,mnmdArprt,manmade_airport
47,mnmdArprtA,manmade_airport-acre
48,mnmdBldng,manmade_building
49,mnmdBldngA,manmade_building-acre
50,mnmdOlAndN,manmade_oil_and_natural_gas
51,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
52,mnmdRl,manmade_rail
53,mnmdRd,manmade_road
54,mnmdRdAcr,manmade_road-acre
55,mnmdTrnsms,manmade_transmission
56,mnmdTrnsm0,manmade_transmission-acre
57,pdUs,pad_us
58,pdUsAcr,pad_us-acre
59,mktVlBldg,mkt_val_bldg
60,mktVlLnd,mkt_val_land
61,mktVlTt,mkt_val_tot
62,bldgSqft,bldg_sqft
63,cnsrvtnEsm,conservation_easements_layer
64,cnsrvtnEs0,conservation_easements_layer-acre
65,acrgAdjcnt,acreage_adjacent_with_sameowner
