,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,acrgClc,acreage_calc
9,acrgDdd,acreage_deeded
10,cnssZp,census_zip
11,CountyID,cid
12,cnsrvtnEsm,conservation_easements_layer
13,cnsrvtnEs0,conservation_easements_layer-acre
14,cntyNm,county_name
15,crtclHbttJ,critical_habitat_joint
16,crtclHbtt0,critical_habitat_joint-acre
17,elvtn,elevation
18,fldHgh,flood-high
19,fldLw,flood-low
20,fld02,flood_02
21,fld02Acr,flood_02-acre
22,fld1,flood_1
23,fld1Acr,flood_1-acre
24,LandUseCde,land-use-code
25,LandUseNm,land-use-name
26,lstUpdtd,last_updated
27,mnmdArprt,manmade_airport
28,mnmdArprtA,manmade_airport-acre
29,mnmdBldng,manmade_building
30,mnmdBldngA,manmade_building-acre
31,mnmdOlAndN,manmade_oil_and_natural_gas
32,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
33,mnmdRl,manmade_rail
34,mnmdRd,manmade_road
35,mnmdRdAcr,manmade_road-acre
36,mnmdTrnsms,manmade_transmission
37,mnmdTrnsm0,manmade_transmission-acre
38,mnId,muni_id
39,mnNm,muni_name
40,pdUs,pad_us
41,pdUsAcr,pad_us-acre
42,pn,pin
43,rsId,rausa_id
44,rbstId,robust_id
45,slPrc,sale_price
46,schlDstId,school_dist_id
47,slp,slope
48,slpAcr,slope-acre
49,trnsDt,trans_date
50,uspsRsdntl,usps_residential
51,wtlnds,wetlands
52,wtlndsAcr,wetlands-acre
53,geometry,geometry
