,field,full_field_name
0,descrption,description
1,bldblPrcnt,Buildable (%)
2,AcresBldbl,Buildable (acre)
3,name,name
4,lbl,label
5,geometry,geometry
6,bldblTSm,Buildable Too Small (%)
7,bldblTSmcr,Buildable Too Small (acre)
8,slpByAspct,Slope By Aspect
9,incldLwstS,Include lowest slope in output drawing
10,hghSlpStbc,High Slope Setback (m)
11,rmvHghSlpF,Remove high slope from buildable area
12,mxSlp,Max Slope (%)
13,mxSlpNrth,Max Slope - North (%)
14,mxSlpSth,Max Slope - South (%)
15,mxSlpEst,Max Slope - East (%)
16,mxSlpWst,Max Slope - West (%)
17,fld100YrSt,Flood 100-Year Setback (m)
18,rmv100YrFr,Remove 100-year from buildable area
19,fld500YrSt,Flood 500-Year Setback (m)
20,rmv500YrFr,Remove 500-year from buildable area
21,wtlndsStbc,Wetlands Setback (m)
22,rmvWtlndFr,Remove wetlands from buildable area
23,mxTrCvr,Max tree cover (%)
24,trCvrStbck,Tree Cover Setback (m)
25,rmvTrCvrFr,Remove tree cover from buildable area
26,rdsStbckm,Roads Setback (m)
27,rmvRdsFrmB,Remove roads from buildable area
28,bldngsStbc,Buildings Setback (m)
29,rmvBldngsF,Remove buildings from buildable area
30,trnsmssnLn,Transmission Lines Setback (m)
31,rmvLnsFrmB,Remove lines from buildable area
32,rlwysStbck,Railways Setback (m)
33,rmvRlwysFr,Remove railways from buildable area
34,arprtRnwys,Airport Runways Setback (m)
35,rmvRnwysFr,Remove runways from buildable area
36,olAndNtrlG,Oil and Natural Gas Wells Setback (m)
37,rmvOlgsWll,Remove oil/gas wells from buildable area
38,cnsrvtnEsm,Conservation Easements Setback (m)
39,rmvEsmntsF,Remove easements from buildable area
40,crtclHbtts,Critical Habitats Setback (m)
41,rmvHbttsFr,Remove habitats from buildable area
42,pblcLndsSt,Public Lands Setback (m)
43,rmvLndsFrm,Remove lands from buildable area
44,hghSlpRel,High Slope - Relative (%)
45,hghSlpAcrs,High Slope - Acres
46,stbckRel,High Slope inc. Setback - Relative (%)
47,hghSlpFtrC,High Slope - Feature Count
48,fld100YrRe,Flood 100-Year - Relative (%)
49,fld100YrAc,Flood 100-Year - Acres
50,stbckRel0,Flood 100-Year inc. Setback - Relative (%)
51,fld100YrFt,Flood 100-Year - Feature Count
52,fld500YrRe,Flood 500-Year - Relative (%)
53,fld500YrAc,Flood 500-Year - Acres
54,stbckRel1,Flood 500-Year inc. Setback - Relative (%)
55,fld500YrFt,Flood 500-Year - Feature Count
56,wtlndsRel,Wetlands - Relative (%)
57,wtlndsAcrs,Wetlands - Acres
58,stbckRel2,Wetlands inc. Setback - Relative (%)
59,wtlndsFtrC,Wetlands - Feature Count
60,trCvrRel,Tree Cover - Relative (%)
61,trCvrAcrs,Tree Cover - Acres
62,stbckRel3,Tree Cover inc. Setback - Relative (%)
63,trCvrFtrCn,Tree Cover - Feature Count
64,rdsRel,Roads - Relative (%)
65,rdsAcrs,Roads - Acres
66,stbckRel4,Roads inc. Setback - Relative (%)
67,rdsFtrCnt,Roads - Feature Count
68,bldngsRel,Buildings - Relative (%)
69,bldngsAcrs,Buildings - Acres
70,stbckRel5,Buildings inc. Setback - Relative (%)
71,bldngsFtrC,Buildings - Feature Count
72,trnsmssnL0,Transmission Lines - Relative (%)
73,trnsmssnL1,Transmission Lines - Acres
74,stbckRel6,Transmission Lines inc. Setback - Relative (%)
75,trnsmssnL2,Transmission Lines - Feature Count
76,rlwysRel,Railways - Relative (%)
77,rlwysAcrs,Railways - Acres
78,stbckRel7,Railways inc. Setback - Relative (%)
79,rlwysFtrCn,Railways - Feature Count
80,arprtRnwy0,Airport Runways - Relative (%)
81,arprtRnwy1,Airport Runways - Acres
82,stbckRel8,Airport Runways inc. Setback - Relative (%)
83,arprtRnwy2,Airport Runways - Feature Count
84,olAndNtrl0,Oil and Natural Gas Wells - Relative (%)
85,olAndNtrl1,Oil and Natural Gas Wells - Acres
86,stbckRel9,Oil and Natural Gas Wells inc. Setback - Relative (%)
87,olAndNtrl2,Oil and Natural Gas Wells - Feature Count
88,cnsrvtnEs0,Conservation Easements - Relative (%)
89,cnsrvtnEs1,Conservation Easements - Acres
90,stbckRel10,Conservation Easements inc. Setback - Relative (%)
91,cnsrvtnEs2,Conservation Easements - Feature Count
92,crtclHbtt0,Critical Habitats - Relative (%)
93,crtclHbtt1,Critical Habitats - Acres
94,stbckRel11,Critical Habitats inc. Setback - Relative (%)
95,crtclHbtt2,Critical Habitats - Feature Count
96,pblcLndsRe,Public Lands - Relative (%)
97,pblcLndsAc,Public Lands - Acres
98,stbckRel12,Public Lands inc. Setback - Relative (%)
99,pblcLndsFt,Public Lands - Feature Count
100,anlyssSrs,Analysis SRS
101,bVrsn,BAA Version
102,bldToSmAc,buildable_too_small_acres
