,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,acrgClc,acreage_calc
9,bldblSmAcr,buildable-small-acre
10,bldblSmRel,buildable-small-relative
11,bldngs,buildings
12,cnssZp,census_zip
13,CountyID,cid
14,cnsrvtnEsm,conservation_easements_layer
15,cnsrvtnEs0,conservation_easements_layer-acre
16,cntyNm,county_name
17,crtclHbttJ,critical_habitat_joint
18,crtclHbtt0,critical_habitat_joint-acre
19,elvtn,elevation
20,fldHgh,flood-high
21,fldLw,flood-low
22,fld02,flood_02
23,fld02Acr,flood_02-acre
24,fld1,flood_1
25,fld1Acr,flood_1-acre
26,LandUseCde,land-use-code
27,lstUpdtd,last_updated
28,lglDsc1,legal_desc1
29,lglDsc2,legal_desc2
30,mnmdArprt,manmade_airport
31,mnmdArprtA,manmade_airport-acre
32,mnmdBldng,manmade_building
33,mnmdBldngA,manmade_building-acre
34,mnmdOlAndN,manmade_oil_and_natural_gas
35,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
36,mnmdRl,manmade_rail
37,mnmdRd,manmade_road
38,mnmdRdAcr,manmade_road-acre
39,mnmdTrnsms,manmade_transmission
40,mnmdTrnsm0,manmade_transmission-acre
41,mnId,muni_id
42,mnNm,muni_name
43,pdUs,pad_us
44,pdUsAcr,pad_us-acre
45,pn,pin
46,rsId,rausa_id
47,rbstId,robust_id
48,schlDstId,school_dist_id
49,slp,slope
50,slpAcr,slope-acre
51,wtlnds,wetlands
52,wtlndsAcr,wetlands-acre
53,geometry,geometry
54,LandUseNm,land-use-name
55,uspsRsdntl,usps_residential
56,acrgDdd,acreage_deeded
57,bldgSqft,bldg_sqft
58,mktVlBldg,mkt_val_bldg
59,mktVlLnd,mkt_val_land
60,mktVlTt,mkt_val_tot
61,slPrc,sale_price
62,ownrOccpd,owner_occupied
