,field,full_field_name
0,descrption,description
1,bldblPrcnt,Buildable (%)
2,AcresBldbl,Buildable (acre)
3,name,name
4,lbl,label
5,geometry,geometry
6,slpByAspct,Slope By Aspect
7,incldLwstS,Include lowest slope in output drawing
8,hghSlpStbc,High Slope Setback (m)
9,rmvHghSlpF,Remove high slope from buildable area
10,mxSlp,Max Slope (%)
11,mxSlpNrth,Max Slope - North (%)
12,mxSlpSth,Max Slope - South (%)
13,mxSlpEst,Max Slope - East (%)
14,mxSlpWst,Max Slope - West (%)
15,fld100YrSt,Flood 100-Year Setback (m)
16,rmv100YrFr,Remove 100-year from buildable area
17,fld500YrSt,Flood 500-Year Setback (m)
18,rmv500YrFr,Remove 500-year from buildable area
19,wtlndsStbc,Wetlands Setback (m)
20,rmvWtlndFr,Remove wetlands from buildable area
21,mxTrCvr,Max tree cover (%)
22,trCvrStbck,Tree Cover Setback (m)
23,rmvTrCvrFr,Remove tree cover from buildable area
24,rdsStbckm,Roads Setback (m)
25,rmvRdsFrmB,Remove roads from buildable area
26,bldngsStbc,Buildings Setback (m)
27,rmvBldngsF,Remove buildings from buildable area
28,trnsmssnLn,Transmission Lines Setback (m)
29,rmvLnsFrmB,Remove lines from buildable area
30,rlwysStbck,Railways Setback (m)
31,rmvRlwysFr,Remove railways from buildable area
32,arprtRnwys,Airport Runways Setback (m)
33,rmvRnwysFr,Remove runways from buildable area
34,olAndNtrlG,Oil and Natural Gas Wells Setback (m)
35,rmvOlgsWll,Remove oil/gas wells from buildable area
36,cnsrvtnEsm,Conservation Easements Setback (m)
37,rmvEsmntsF,Remove easements from buildable area
38,crtclHbtts,Critical Habitats Setback (m)
39,rmvHbttsFr,Remove habitats from buildable area
40,hghSlpRel,High Slope - Relative (%)
41,hghSlpAcrs,High Slope - Acres
42,stbckRel,High Slope inc. Setback - Relative (%)
43,hghSlpFtrC,High Slope - Feature Count
44,fld100YrRe,Flood 100-Year - Relative (%)
45,fld100YrAc,Flood 100-Year - Acres
46,stbckRel0,Flood 100-Year inc. Setback - Relative (%)
47,fld100YrFt,Flood 100-Year - Feature Count
48,fld500YrRe,Flood 500-Year - Relative (%)
49,fld500YrAc,Flood 500-Year - Acres
50,stbckRel1,Flood 500-Year inc. Setback - Relative (%)
51,fld500YrFt,Flood 500-Year - Feature Count
52,wtlndsRel,Wetlands - Relative (%)
53,wtlndsAcrs,Wetlands - Acres
54,stbckRel2,Wetlands inc. Setback - Relative (%)
55,wtlndsFtrC,Wetlands - Feature Count
56,trCvrRel,Tree Cover - Relative (%)
57,trCvrAcrs,Tree Cover - Acres
58,stbckRel3,Tree Cover inc. Setback - Relative (%)
59,trCvrFtrCn,Tree Cover - Feature Count
60,rdsRel,Roads - Relative (%)
61,rdsAcrs,Roads - Acres
62,stbckRel4,Roads inc. Setback - Relative (%)
63,rdsFtrCnt,Roads - Feature Count
64,bldngsRel,Buildings - Relative (%)
65,bldngsAcrs,Buildings - Acres
66,stbckRel5,Buildings inc. Setback - Relative (%)
67,bldngsFtrC,Buildings - Feature Count
68,trnsmssnL0,Transmission Lines - Relative (%)
69,trnsmssnL1,Transmission Lines - Acres
70,stbckRel6,Transmission Lines inc. Setback - Relative (%)
71,trnsmssnL2,Transmission Lines - Feature Count
72,rlwysRel,Railways - Relative (%)
73,rlwysAcrs,Railways - Acres
74,stbckRel7,Railways inc. Setback - Relative (%)
75,rlwysFtrCn,Railways - Feature Count
76,arprtRnwy0,Airport Runways - Relative (%)
77,arprtRnwy1,Airport Runways - Acres
78,stbckRel8,Airport Runways inc. Setback - Relative (%)
79,arprtRnwy2,Airport Runways - Feature Count
80,olAndNtrl0,Oil and Natural Gas Wells - Relative (%)
81,olAndNtrl1,Oil and Natural Gas Wells - Acres
82,stbckRel9,Oil and Natural Gas Wells inc. Setback - Relative (%)
83,olAndNtrl2,Oil and Natural Gas Wells - Feature Count
84,cnsrvtnEs0,Conservation Easements - Relative (%)
85,cnsrvtnEs1,Conservation Easements - Acres
86,stbckRel10,Conservation Easements inc. Setback - Relative (%)
87,cnsrvtnEs2,Conservation Easements - Feature Count
88,crtclHbtt0,Critical Habitats - Relative (%)
89,crtclHbtt1,Critical Habitats - Acres
90,stbckRel11,Critical Habitats inc. Setback - Relative (%)
91,crtclHbtt2,Critical Habitats - Feature Count
92,anlyssSrs,Analysis SRS
93,bVrsn,BAA Version
94,bldToSmAc,buildable_too_small_acres
95,bldblTSm,Buildable Too Small (%)
96,bldblTSmcr,Buildable Too Small (acre)
97,pblcLndsSt,Public Lands Setback (m)
98,rmvLndsFrm,Remove lands from buildable area
99,pblcLndsRe,Public Lands - Relative (%)
100,pblcLndsAc,Public Lands - Acres
101,stbckRel12,Public Lands inc. Setback - Relative (%)
102,pblcLndsFt,Public Lands - Feature Count
