,field,full_field_name
0,objctd,objectid
1,unqId,unique_id
2,scrty,security
3,stnm,sitename
4,esmthldr,esmthldr
5,ehldtyp,eholdtype
6,owntyp,owntype
7,sEmthd1,s_emthd1
8,sEmthd2,s_emthd2
9,prps,purpose
10,pbccss,pubaccess
11,drtn,duration
12,trm,term
13,mnEst,mon_est
14,dyEst,day_est
15,yrEst,year_est
16,stt,state
17,rpAcrs,rep_acres
18,gsAcrs,gis_acres
19,pctDff,pct_diff
20,gpct,gapcat
21,icnct,iucncat
22,dtgg,dataagg
23,dtntry,dataentry
24,dtpvdr,datapvdr
25,dtsrc,datasrc
26,srcUd,source_uid
27,cnflct,conflict
28,stckd,stacked
29,cmmnts,comments
30,ehldd1,eholduid1
31,ehldd2,eholduid2
32,ehldd3,eholduid3
33,rprtHrf,report_href
34,cnty,county
35,crtdUsr,created_user
36,crtdDt,created_date
37,lstEdtdUsr,last_edited_user
38,lstEdtdDt,last_edited_date
39,glbld,globalid
40,shpLngth,shape_length
41,shpAr,shape_area
42,geometry,geometry
43,lyrNm,layer_name
44,lyrId,layer_id
45,lyrKy,layer_key
46,svcNm,svc_name
47,svcId,svc_id
48,lbl,label
49,ar,area
50,stbck,setback
51,exFrmBldbl,exclude_from_buildable
52,ftrWdth,feature_width
