,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,acrgClc,acreage_calc
9,acrgDdd,acreage_deeded
10,cnssZp,census_zip
11,CountyID,cid
12,cnsrvtnEsm,conservation_easements_layer
13,cnsrvtnEs0,conservation_easements_layer-acre
14,cntyNm,county_name
15,crtclHbttJ,critical_habitat_joint
16,crtclHbtt0,critical_habitat_joint-acre
17,elvtn,elevation
18,fldHgh,flood-high
19,fldLw,flood-low
20,fld02,flood_02
21,fld02Acr,flood_02-acre
22,fld1,flood_1
23,fld1Acr,flood_1-acre
24,LandUseCde,land-use-code
25,lstUpdtd,last_updated
26,mnmdArprt,manmade_airport
27,mnmdArprtA,manmade_airport-acre
28,mnmdBldng,manmade_building
29,mnmdBldngA,manmade_building-acre
30,mnmdOlAndN,manmade_oil_and_natural_gas
31,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
32,mnmdRl,manmade_rail
33,mnmdRd,manmade_road
34,mnmdRdAcr,manmade_road-acre
35,mnmdTrnsms,manmade_transmission
36,mnmdTrnsm0,manmade_transmission-acre
37,mktVlBldg,mkt_val_bldg
38,mktVlLnd,mkt_val_land
39,mktVlTt,mkt_val_tot
40,mnId,muni_id
41,mnNm,muni_name
42,pdUs,pad_us
43,pdUsAcr,pad_us-acre
44,pn,pin
45,rsId,rausa_id
46,rbstId,robust_id
47,schlDstId,school_dist_id
48,slp,slope
49,slpAcr,slope-acre
50,wtlnds,wetlands
51,wtlndsAcr,wetlands-acre
52,geometry,geometry
53,bldblSmAcr,buildable-small-acre
54,bldblSmRel,buildable-small-relative
55,LandUseNm,land-use-name
56,bldngs,buildings
57,nghCd,ngh_code
58,ownrOccpd,owner_occupied
59,slPrc,sale_price
60,uspsRsdntl,usps_residential
61,bldgSqft,bldg_sqft
62,acrgAdjcnt,acreage_adjacent_with_sameowner
63,TreePrcnt,tree
64,trAcr,tree-acre
65,bldSlAcr,buildable-sliver-acre
66,bldSlRel,buildable-sliver-relative
67,lglDsc1,legal_desc1
68,fldHghAcr,flood-high-acre
69,fldLwAcr,flood-low-acre
70,mnmdRlAcr,manmade_rail-acre
71,szUnts,size-units
72,trTr,tree_tree
73,trTrAcr,tree_tree-acre
74,trnsDt,trans_date
75,bldng,building
76,bldngAcr,building-acre
77,rlwy,railway
78,rlwyAcr,railway-acre
79,rd,road
80,rdAcr,road-acre
81,trnsmssn,transmission
82,trnsmssnAc,transmission-acre
83,wtlnd,wetland
84,wtlndAcr,wetland-acre
