,field,full_field_name
0,indx,index
1,objctd,OBJECTID
2,id,ID
3,typ,TYPE
4,stts,STATUS
5,ncsCd,NAICS_CODE
6,ncsDsc,NAICS_DESC
7,src,SOURCE
8,srcdt,SOURCEDATE
9,vlMthd,VAL_METHOD
10,vlDt,VAL_DATE
11,ownr,OWNER
12,vltg,VOLTAGE
13,vltClss,VOLT_CLASS
14,infrrd,INFERRED
15,sb1,SUB_1
16,sb2,SUB_2
17,shpLngth,SHAPE__Length
18,_geometry,_geometry
19,geometry,geometry
20,tbl,table
21,lyrNm,layer_name
22,lyrId,layer_id
23,lyrKy,layer_key
24,svcNm,svc_name
25,svcId,svc_id
26,lbl,label
27,ar,area
28,stbck,setback
29,exFrmBldbl,exclude_from_buildable
30,ftrWdth,feature_width
