,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,bldSlAcr,buildable-sliver-acre
9,bldSlRel,buildable-sliver-relative
10,bldblSmAcr,buildable-small-acre
11,bldblSmRel,buildable-small-relative
12,fldHgh,flood-high
13,fldLw,flood-low
14,slp,slope
15,slpAcr,slope-acre
16,TreePrcnt,tree
17,trAcr,tree-acre
18,wtlnds,wetlands
19,wtlndsAcr,wetlands-acre
20,geometry,geometry
21,acrgClc,acreage_calc
22,bldgSqft,bldg_sqft
23,bldngs,buildings
24,cnssZp,census_zip
25,CountyID,cid
26,cntyNm,county_name
27,elvtn,elevation
28,LandUseCde,land-use-code
29,LandUseNm,land-use-name
30,lstUpdtd,last_updated
31,mktVlBldg,mkt_val_bldg
32,mktVlLnd,mkt_val_land
33,mktVlTt,mkt_val_tot
34,mnId,muni_id
35,mnNm,muni_name
36,pn,pin
37,rsId,rausa_id
38,rbstId,robust_id
39,slPrc,sale_price
40,schlDstId,school_dist_id
41,trnsDt,trans_date
42,uspsRsdntl,usps_residential
43,acrgDdd,acreage_deeded
44,ownrOccpd,owner_occupied
