,field,full_field_name
0,Parcel,Parcel
1,owner,owner
2,descrption,description
3,bldblRel,buildable-relative
4,bldblAcr,buildable-acre
5,LotSize,size
6,ownerAddr,ownerAddr
7,mailAddr,mailAddr
8,acrgAdjcnt,acreage_adjacent_with_sameowner
9,acrgClc,acreage_calc
10,acrgDdd,acreage_deeded
11,bldblSmAcr,buildable-small-acre
12,bldblSmRel,buildable-small-relative
13,cnssZp,census_zip
14,CountyID,cid
15,cnsrvtnEsm,conservation_easements_layer
16,cnsrvtnEs0,conservation_easements_layer-acre
17,cntyNm,county_name
18,crtclHbttJ,critical_habitat_joint
19,crtclHbtt0,critical_habitat_joint-acre
20,elvtn,elevation
21,fldHgh,flood-high
22,fldLw,flood-low
23,fld02,flood_02
24,fld02Acr,flood_02-acre
25,fld1,flood_1
26,fld1Acr,flood_1-acre
27,LandUseCde,land-use-code
28,LandUseNm,land-use-name
29,lstUpdtd,last_updated
30,mnmdArprt,manmade_airport
31,mnmdArprtA,manmade_airport-acre
32,mnmdBldng,manmade_building
33,mnmdBldngA,manmade_building-acre
34,mnmdOlAndN,manmade_oil_and_natural_gas
35,mnmdOlAnd0,manmade_oil_and_natural_gas-acre
36,mnmdRl,manmade_rail
37,mnmdRd,manmade_road
38,mnmdRdAcr,manmade_road-acre
39,mnmdTrnsms,manmade_transmission
40,mnmdTrnsm0,manmade_transmission-acre
41,mnId,muni_id
42,mnNm,muni_name
43,pdUs,pad_us
44,pdUsAcr,pad_us-acre
45,pn,pin
46,rsId,rausa_id
47,rbstId,robust_id
48,slPrc,sale_price
49,schlDstId,school_dist_id
50,slp,slope
51,slpAcr,slope-acre
52,trnsDt,trans_date
53,wtlnds,wetlands
54,wtlndsAcr,wetlands-acre
55,geometry,geometry
56,lglDsc1,legal_desc1
57,mktVlBldg,mkt_val_bldg
58,mktVlLnd,mkt_val_land
59,mktVlTt,mkt_val_tot
