,field,full_field_name
0,fd,fid
1,cfccCd,cfcc_code
2,cntyR,county_rou
3,dtScr,data_secur
4,dstrbt,distributi
5,fdrlL,federal_la
6,fllStr,full_stree
7,gdbOd,geodb_oid
8,hghAddL,high_add_l
9,hghAddR,high_add_r
10,intrstt,interstate
11,isnwy,isoneway
12,lddt,loaddate
13,lwAddrL,low_addr_l
14,lwAddrR,low_addr_r
15,mtfccCd,mtfcc_code
16,objctd,objectid
17,onwyDr,oneway_dir
18,prmnnt,permanent_
19,rdClss,road_class
20,shpLng,shape_leng
21,srcDs,source_des
22,srcDt,source_dat
23,srcF,source_fea
24,srcOr,source_ori
25,sttRt,state_rout
26,stcFpsc,stco_fipsc
27,srfcTy,surface_ty
28,tnmfrc,tnmfrc
29,usRt,us_route
30,zpLft,zip_left
31,zpRght,zip_right
32,lwAddL,low_add_l
33,lwAddR,low_add_r
34,lwAddrl0,low_addrl
35,hghAddl0,high_addl
36,geometry,geometry
37,lyrNm,layer_name
38,lyrId,layer_id
39,lyrKy,layer_key
40,svcNm,svc_name
41,svcId,svc_id
42,lbl,label
43,ar,area
44,stbck,setback
45,exFrmBldbl,exclude_from_buildable
46,ftrWdth,feature_width
